match_id,match_number,date,team,opponent,is_home,goals_for,goals_against,result,points,xg,pass_completion_pct,completed_line_breaks,defensive_line_breaks,final_third_receptions,crosses,ball_progressions,forced_turnovers,second_balls,distance_km,zone4_sprint_km,attempts,attempts_on_target,total_passes,completed_passes,defensive_pressures,direct_pressures,possession_pct,possession_contest_pct,xg_against,attempts_against,attempts_on_target_against,source_url,pdf_file
2026_M020,20,2026-06-16 00:00:00,Jordan,Austria,False,1,3,L,0,0.53,74,63,4,91,15,23,55,85,119.2,6.7,11,4,344,254,322,42,33.0,13.6,1.93,10,4,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M20-AUT-V-JOR-V3.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M020_PMSR-M20-AUT-V-JOR-V3.pdf
2026_M021,21,2026-06-17 00:00:00,Ghana,Panama,True,1,0,W,3,0.98,84,70,12,66,17,36,49,70,119.0,6.2,7,2,362,304,294,60,35.6,8.9,0.77,11,4,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M21-GHA-V-PAN-V2.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M021_PMSR-M21-GHA-V-PAN-V2.pdf
2026_M021,21,2026-06-17 00:00:00,Panama,Ghana,False,0,1,L,0,0.77,88,105,8,114,21,22,48,75,117.3,5.7,11,4,597,526,201,62,55.5,8.9,0.98,7,2,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M21-GHA-V-PAN-V2.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M021_PMSR-M21-GHA-V-PAN-V2.pdf
2026_M022,22,2026-06-17 00:00:00,Croatia,England,False,2,4,L,0,0.82,87,85,8,89,12,20,35,48,113.7,6.4,10,5,459,399,295,50,43.5,7.5,3.33,22,11,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M22-ENG-V-CRO.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M022_PMSR-M22-ENG-V-CRO.pdf
2026_M022,22,2026-06-17 00:00:00,England,Croatia,True,4,2,W,3,3.33,87,82,11,78,15,23,36,63,117.0,6.6,22,11,482,421,262,38,49.0,7.5,0.82,10,5,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M22-ENG-V-CRO.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M022_PMSR-M22-ENG-V-CRO.pdf
2026_M023,23,2026-06-17 00:00:00,Congo DR,Portugal,False,1,1,D,1,0.54,80,60,4,62,10,24,42,46,112.4,6.0,8,2,268,214,407,41,25.3,5.8,0.57,7,1,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M23-POR-V-COD.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M023_PMSR-M23-POR-V-COD.pdf
2026_M023,23,2026-06-17 00:00:00,Portugal,Congo DR,True,1,1,D,1,0.57,92,146,18,222,23,27,29,70,109.8,5.7,7,1,804,740,183,24,68.9,5.8,0.54,8,2,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M23-POR-V-COD.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M023_PMSR-M23-POR-V-COD.pdf
2026_M024,24,2026-06-17 00:00:00,Colombia,Uzbekistan,False,3,1,W,3,1.16,88,72,3,110,18,23,31,60,108.7,4.7,15,4,534,469,160,32,56.7,9.4,1.11,8,2,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M24-UZB-V-COL-V2.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M024_PMSR-M24-UZB-V-COL-V2.pdf
2026_M024,24,2026-06-17 00:00:00,Uzbekistan,Colombia,True,1,3,L,0,1.11,80,70,6,64,11,20,32,40,112.0,4.5,8,2,334,267,264,36,33.9,9.4,1.16,15,4,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M24-UZB-V-COL-V2.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M024_PMSR-M24-UZB-V-COL-V2.pdf
2026_M025,25,2026-06-18 00:00:00,Czechia,South Africa,True,1,1,D,1,1.36,79,87,6,73,15,22,41,64,119.6,6.6,14,3,352,279,343,40,32.4,7.4,1.34,17,4,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M25-CZE-V-RSA.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M025_PMSR-M25-CZE-V-RSA.pdf
