team,rating,matches,recent_matches,recent_points_per_match,recent_goals_for,recent_goals_against,recent_result_weight,weighted_recent_points_per_match,weighted_recent_goals_for,weighted_recent_goals_against,weighted_recent_goal_diff,report_matches,xg_for_2026,xg_against_2026,attempts_for_2026,attempts_against_2026,on_target_for_2026,on_target_against_2026,possession_pct_2026,statsbomb_matches,statsbomb_xg_for,statsbomb_xg_against,statsbomb_shots_for,statsbomb_shots_against,statsbomb_on_target_for,xg_for_2026_shrunk,xg_against_2026_shrunk,statsbomb_xg_for_shrunk,statsbomb_xg_against_shrunk
Botswana,1405.3587599280545,332,12,0.6666666666666666,0.6666666666666666,1.8333333333333333,11.599229088568542,0.9141444473345338,0.6932904474258501,1.5887408709146498,-0.8954504234887997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
Barawa,1404.9776288643448,12,12,0.75,1.3333333333333333,3.8333333333333335,0.04100527913129421,0.7664173295502277,1.229829225263211,3.9238176995731044,-2.6939884743098936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
Micronesia,1404.670986853354,7,7,0.42857142857142855,1.1428571428571428,8.428571428571429,4.857185267673465e-07,0.04549652894660468,0.12042992679744709,12.512157156237429,-12.391727229439981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
Yemen DPR,1404.2300409303325,25,12,0.5,0.8333333333333334,2.8333333333333335,4.052420885447825e-11,0.7558581083030659,0.8498184455778872,2.4314896439007274,-1.5816711983228402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
Puerto Rico,1404.219731935332,163,12,1.4166666666666667,1.5,1.75,9.742287158041078,1.4615498377724507,1.8019950734273515,1.647449262324927,0.15454581110242466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
Faroe Islands,1401.2426277492975,287,12,1.75,1.1666666666666667,0.8333333333333334,13.36079348536449,1.3385921713213729,0.9964482951745065,1.114024243665248,-0.11757594849074145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
Sark,1399.9768111379974,4,4,0.0,0.0,17.5,4.6234885286567506e-07,0.0,0.0,17.49501200350957,-17.49501200350957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
Lesotho,1399.6058098044973,296,12,1.0,0.6666666666666666,1.75,10.781909966150838,0.9210482470258856,0.6633559374372523,1.434348432833682,-0.7709924953964298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
Solomon Islands,1399.5295837771544,214,12,0.5,1.3333333333333333,2.75,8.353659630389721,0.8543555288990435,1.5452263286829067,2.6162569340997797,-1.0710306054168732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
Saint Vincent and the Grenadines,1398.6063737053182,236,12,1.8333333333333333,2.4166666666666665,1.25,11.936311230868599,1.6623065784340854,2.08258360053559,1.5272305404113926,0.5553530601241972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
Philippines,1398.2681591945066,342,12,2.25,2.5833333333333335,1.0833333333333333,11.44125789600228,1.7154334935725901,2.157393953318689,1.352751704655307,0.8046422486633822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
Burundi,1397.303712308423,218,12,0.6666666666666666,0.5,1.3333333333333333,8.850755915202793,0.7718362561906634,0.7536148569540873,1.7676524499088957,-1.0140375929548087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
Hitra,1396.2984308619139,23,12,1.3333333333333333,2.3333333333333335,2.9166666666666665,2.046114438358391,1.495473757269426,3.22835223609784,2.51142368351169,0.7169285525861497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
Armenia,1392.5368360076827,272,12,0.5,0.9166666666666666,3.0,13.340973639538902,0.682100361876886,0.9496963447524039,2.3403182955131197,-1.390621950760716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
