source,match_id,date,competition,season,team,opponent,is_home,statsbomb_shots,statsbomb_xg,statsbomb_goals,statsbomb_on_target,statsbomb_xg_against,statsbomb_shots_against
StatsBomb Open Data,3939987,2024-07-01,Copa America,2024,Jamaica,Venezuela,True,8,0.667584843,0,1,1.714409986,17
StatsBomb Open Data,3939987,2024-07-01,Copa America,2024,Venezuela,Jamaica,False,17,1.714409986,3,3,0.667584843,8
StatsBomb Open Data,3939988,2024-07-01,Copa America,2024,Mexico,Ecuador,True,20,0.937626587,0,4,0.305849259,9
StatsBomb Open Data,3939988,2024-07-01,Copa America,2024,Ecuador,Mexico,False,9,0.305849259,0,3,0.937626587,20
StatsBomb Open Data,3941019,2024-07-01,UEFA Euro,2024,France,Belgium,True,19,1.262011896,0,2,0.363213926,5
StatsBomb Open Data,3941019,2024-07-01,UEFA Euro,2024,Belgium,France,False,5,0.363213926,0,2,1.262011896,19
StatsBomb Open Data,3941020,2024-07-01,UEFA Euro,2024,Portugal,Slovenia,True,23,4.071676876,3,9,3.066036338,13
StatsBomb Open Data,3941020,2024-07-01,UEFA Euro,2024,Slovenia,Portugal,False,13,3.066036338,0,5,4.071676876,23
StatsBomb Open Data,3939986,2024-06-30,Copa America,2024,Argentina,Peru,True,12,2.1057768130000003,2,6,0.1666223537,7
StatsBomb Open Data,3939986,2024-06-30,Copa America,2024,Peru,Argentina,False,7,0.1666223537,0,1,2.1057768130000003,12
StatsBomb Open Data,3939985,2024-06-30,Copa America,2024,Canada,Chile,True,9,0.699493846,0,3,0.454009303,8
StatsBomb Open Data,3939985,2024-06-30,Copa America,2024,Chile,Canada,False,8,0.454009303,0,4,0.699493846,9
StatsBomb Open Data,3941018,2024-06-30,UEFA Euro,2024,Spain,Georgia,True,35,2.7647263759999996,4,13,0.113077642,4
StatsBomb Open Data,3941018,2024-06-30,UEFA Euro,2024,Georgia,Spain,False,4,0.113077642,0,0,2.7647263759999996,35
StatsBomb Open Data,3941017,2024-06-30,UEFA Euro,2024,England,Slovakia,True,16,1.5867405009999995,2,2,1.547847124,13
StatsBomb Open Data,3941017,2024-06-30,UEFA Euro,2024,Slovakia,England,False,13,1.547847124,1,3,1.5867405009999995,16
StatsBomb Open Data,3939983,2024-06-29,Copa America,2024,Paraguay,Brazil,True,15,0.6916759418999999,1,6,3.747689848999999,17
StatsBomb Open Data,3939983,2024-06-29,Copa America,2024,Brazil,Paraguay,False,17,3.747689848999999,4,6,0.6916759418999999,15
StatsBomb Open Data,3940983,2024-06-29,UEFA Euro,2024,Germany,Denmark,True,15,2.2266212783999997,2,9,1.073495348,10
StatsBomb Open Data,3940983,2024-06-29,UEFA Euro,2024,Denmark,Germany,False,10,1.073495348,0,2,2.2266212783999997,15
StatsBomb Open Data,3940878,2024-06-29,UEFA Euro,2024,Switzerland,Italy,True,16,0.7823567560000001,2,4,0.7256579150000001,11
StatsBomb Open Data,3940878,2024-06-29,UEFA Euro,2024,Italy,Switzerland,False,11,0.7256579150000001,0,1,0.7823567560000001,16
StatsBomb Open Data,3939982,2024-06-28,Copa America,2024,Uruguay,Bolivia,True,18,2.3209622755000003,5,9,0.0507624025,4
StatsBomb Open Data,3939982,2024-06-28,Copa America,2024,Bolivia,Uruguay,False,4,0.0507624025,0,1,2.3209622755000003,18
StatsBomb Open Data,3939984,2024-06-28,Copa America,2024,Colombia,Costa Rica,True,18,2.902314693000001,3,5,0.165297975,5
StatsBomb Open Data,3939984,2024-06-28,Copa America,2024,Costa Rica,Colombia,False,5,0.165297975,0,0,2.902314693000001,18
StatsBomb Open Data,3939979,2024-06-27,Copa America,2024,Venezuela,Mexico,True,10,1.138640792,1,2,2.3843226160000004,18
StatsBomb Open Data,3939979,2024-06-27,Copa America,2024,Mexico,Venezuela,False,18,2.3843226160000004,0,5,1.138640792,10
StatsBomb Open Data,3939981,2024-06-27,Copa America,2024,Panama,USA,True,13,0.730782593,2,4,0.914278539,6
StatsBomb Open Data,3939981,2024-06-27,Copa America,2024,USA,Panama,False,6,0.914278539,1,3,0.730782593,13
StatsBomb Open Data,3939980,2024-06-26,Copa America,2024,Ecuador,Jamaica,True,23,2.3658249158,2,3,0.934746927,7
StatsBomb Open Data,3939980,2024-06-26,Copa America,2024,Jamaica,Ecuador,False,7,0.934746927,1,4,2.3658249158,23
StatsBomb Open Data,3939977,2024-06-26,Copa America,2024,Chile,Argentina,True,3,0.1309882215,0,3,2.7840603249999996,22
StatsBomb Open Data,3939977,2024-06-26,Copa America,2024,Argentina,Chile,False,22,2.7840603249999996,1,9,0.1309882215,3
StatsBomb Open Data,3938644,2024-06-26,UEFA Euro,2024,Georgia,Portugal,True,7,1.3454930710000002,2,3,2.3561307869999997,22
StatsBomb Open Data,3938644,2024-06-26,UEFA Euro,2024,Portugal,Georgia,False,22,2.3561307869999997,0,5,1.3454930710000002,7
StatsBomb Open Data,3938645,2024-06-26,UEFA Euro,2024,Ukraine,Belgium,True,14,0.7091700302999999,0,5,0.633984568,12
StatsBomb Open Data,3938645,2024-06-26,UEFA Euro,2024,Belgium,Ukraine,False,12,0.633984568,0,4,0.7091700302999999,14
StatsBomb Open Data,3930184,2024-06-26,UEFA Euro,2024,Czechia,Türkiye,True,12,1.4103225654,1,6,1.2175436875,18
